"Part","Value","Attributes","Package","Description","Part Num"
"78L05","78L05CD15V5VONLINE","","78L05CD15V5V_LIB","78L05CD 15 V- 5 V voltage regulator","*"
"C1","0.1u","","C0805","CAPACITOR, European symbol","*"
"C2","0.1u","","C0805","CAPACITOR, European symbol","*"
"C3","0.1u","","C0805","CAPACITOR, European symbol","*"
"C4","0.1u","","C0805","CAPACITOR, European symbol","*"
"C36","100n","","C0805","CAPACITOR, European symbol","*"
"C37","TANTALUM_C_10UF_KEM","","TANTALUM_C_10UF_KEM","","*"
"C38","100n","","C0805","CAPACITOR, European symbol","*"
"C75","0.1u","","C0805","CAPACITOR, European symbol","*"
"C76","0.1u","","C0805","CAPACITOR, European symbol","*"
"C77","2n","","C0805","CAPACITOR, European symbol","*"
"C78","1n","","C0805","CAPACITOR, European symbol","*"
"C79","0.1u","","C0805","CAPACITOR, European symbol","*"
"C80","0.1u","","C0805","CAPACITOR, European symbol","*"
"C81","2n","","C0805","CAPACITOR, European symbol","*"
"C82","1n","","C0805","CAPACITOR, European symbol","*"
"C83","2n","","C0805","CAPACITOR, European symbol","*"
"C84","1n","","C0805","CAPACITOR, European symbol","*"
"C87","2n","","C0805","CAPACITOR, European symbol","*"
"C88","1n","","C0805","CAPACITOR, European symbol","*"
"C89","2n","","C0805","CAPACITOR, European symbol","*"
"C90","1n","","C0805","CAPACITOR, European symbol","*"
"C93","2n","","C0805","CAPACITOR, European symbol","*"
"C94","1n","","C0805","CAPACITOR, European symbol","*"
"C95","0.1u","","C0805","CAPACITOR, European symbol","*"
"C96","0.1u","","C0805","CAPACITOR, European symbol","*"
"C97","0.1u","","C0805","CAPACITOR, European symbol","*"
"C98","0.1u","","C0805","CAPACITOR, European symbol","*"
"C99","0.1u","","C0805","CAPACITOR, European symbol","*"
"C100","0.1u","","C0805","CAPACITOR, European symbol","*"
"C101","0.1u","","C0805","CAPACITOR, European symbol","*"
"C102","0.1u","","C0805","CAPACITOR, European symbol","*"
"C103","0.1u","","C0805","CAPACITOR, European symbol","*"
"C104","0.1u","","C0805","CAPACITOR, European symbol","*"
"C105","0.1u","","C0805","CAPACITOR, European symbol","*"
"C106","0.1u","","C0805","CAPACITOR, European symbol","*"
"IPS1","BU-SMA-H","","BU-SMA-H","FEMALE SMA CONNECTOR","*"
"IPS2","BU-SMA-H","","BU-SMA-H","FEMALE SMA CONNECTOR","*"
"IPS3","BU-SMA-H","","BU-SMA-H","FEMALE SMA CONNECTOR","*"
"IPS_AD","","","MA03-1","PIN HEADER","*"
"IPS_OUT","","","MA03-1","PIN HEADER","*"
"LED1","","","CHIPLED_0805","LED","*"
"LED3","","","CHIPLED_0805","LED","*"
"LP3992","LD398525RM","","SOT23-5L","Ultra low drop and low noise BiCMOS voltage regulators","*"
"POWER","","","MA03-1","PIN HEADER","*"
"POWER_SUPPLY","MSTBA3","","MSTBA3","PHOENIX","1757255"
"R1","2.81k","","R0805","RESISTOR, European symbol","*"
"R2","2.81k","","R0805","RESISTOR, European symbol","*"
