"Part","Value","Attributes","Package","Description","Part Num"
"C1","1u","","C0805","CAPACITOR, European symbol","*"
"C2","1u","","C0805","CAPACITOR, European symbol","*"
"C3","1u","","C0805","CAPACITOR, European symbol","*"
"C4","1u","","C0805","CAPACITOR, European symbol","*"
"C5","1u","","C0805","CAPACITOR, European symbol","*"
"C6","1u","","C0805","CAPACITOR, European symbol","*"
"C7","100n","","C0805","CAPACITOR, European symbol","*"
"C8","100n","","C0805","CAPACITOR, European symbol","*"
"C9","1u","","C0805","CAPACITOR, European symbol","*"
"C10","1u","","C0805","CAPACITOR, European symbol","*"
"C11","100n","","C0805","CAPACITOR, European symbol","*"
"C12","100n","","C0805","CAPACITOR, European symbol","*"
"C13","100n","","C0805","CAPACITOR, European symbol","*"
"C14","100n","","C0805","CAPACITOR, European symbol","*"
"C15","100n","","C0805","CAPACITOR, European symbol","*"
"C16","100n","","C0805","CAPACITOR, European symbol","*"
"C17","1u","","C0805","CAPACITOR, European symbol","*"
"C18","1u","","C0805","CAPACITOR, European symbol","*"
"C19","100n","","C0805","CAPACITOR, European symbol","*"
"C20","100n","","C0805","CAPACITOR, European symbol","*"
"C21","1u","","C0805","CAPACITOR, European symbol","*"
"C22","1u","","C0805","CAPACITOR, European symbol","*"
"C23","100n","","C0805","CAPACITOR, European symbol","*"
"C24","100n","","C0805","CAPACITOR, European symbol","*"
"C31","ELE_C_470UF_PAN","","ELEK_C_470UF_PAN","","*"
"C32","ELE_C_470UF_PAN","","ELEK_C_470UF_PAN","","*"
"IPS1","LA-25-P","","LA25P","Current Transducer LA 100P","*"
"IPS1_SMA","BU-SMA-H","","BU-SMA-H","FEMALE SMA CONNECTOR","*"
"IPS2","LA-25-P","","LA25P","Current Transducer LA 100P","*"
"IPS2_SMA","BU-SMA-H","","BU-SMA-H","FEMALE SMA CONNECTOR","*"
"IPS3","LA-25-P","","LA25P","Current Transducer LA 100P","*"
"IPS3_SMA","BU-SMA-H","","BU-SMA-H","FEMALE SMA CONNECTOR","*"
"LED1","","","CHIPLED_0805","LED","*"
"LED3","","","CHIPLED_0805","LED","*"
"POWER_SUPPLY","MSTBA3","","MSTBA3","PHOENIX","1757255"
"R27","2k","","R0805","RESISTOR, European symbol","*"
"R30","2k","","R0805","RESISTOR, European symbol","*"
"R_VS_1","21.1k","","0414/15","RESISTOR, European symbol","*"
"R_VS_2","21.1k","","0414/15","RESISTOR, European symbol","*"
"R_VS_3","21.1k","","0414/15","RESISTOR, European symbol","*"
"VP1","MSTBA2","","MSTBA2","PHOENIX","1757242"
"VP2","MSTBA2","","MSTBA2","PHOENIX","1757242"
"VP3","MSTBA2","","MSTBA2","PHOENIX","1757242"
"VPH_1","LV_25-P","","XDCR_LV25-P","Transducer Voltage Close Loop 10ma - Lv 25-p","*"
"VPH_2","LV_25-P","","XDCR_LV25-P","Transducer Voltage Close Loop 10ma - Lv 25-p","*"
"VPH_3","LV_25-P","","XDCR_LV25-P","Transducer Voltage Close Loop 10ma - Lv 25-p","*"
"VPS1_SMA","BU-SMA-H","","BU-SMA-H","FEMALE SMA CONNECTOR","*"
"VPS2_SMA","BU-SMA-H","","BU-SMA-H","FEMALE SMA CONNECTOR","*"
"VPS3_SMA","BU-SMA-H","","BU-SMA-H","FEMALE SMA CONNECTOR","*"
